,Date,Close,High,Low,Open,Volume,profit
60,2025-04-01,562.025146484375,563.7297848121632,554.5385131889592,558.2768405325952,4466700,0.0
61,2025-04-02,565.4344482421875,568.2655738981738,555.6549869632339,555.8942301628758,3745500,0.61
62,2025-04-03,538.388916015625,548.7565071320304,537.7409149510876,545.9054241384066,12111300,-4.21
63,2025-04-04,506.0299377441406,526.6057058121255,505.8405571496645,524.4823310374985,17517100,-9.96
64,2025-04-07,504.80377197265625,523.9240621811588,482.4934303859565,489.88036858038555,29219900,-10.18
65,2025-04-08,497.2473449707031,525.7483780389388,489.96010165332405,522.6579910764783,12062500,-11.53
66,2025-04-09,544.5496826171875,547.121668864183,493.79814699020073,494.1071796165519,21339000,-3.11
67,2025-04-10,525.4193725585938,534.26175727885,510.33646414368974,533.0156482613938,10186400,-6.51
68,2025-04-11,535.3085327148438,537.25247515458,520.8736238161921,523.7346855521237,11196100,-4.75
69,2025-04-14,539.8344116210938,545.1378591763208,534.7702072744203,544.9185123383668,5791300,-3.95
70,2025-04-15,538.508544921875,543.9914249894149,537.631279243455,540.4723836676571,4528700,-4.18
71,2025-04-16,526.4960327148438,535.8767147141936,521.1128173709737,532.4673774471652,6763400,-6.32
72,2025-04-17,527.0243530273438,531.9789141828202,524.7215459678033,528.3900836601136,4319400,-6.23
73,2025-04-21,514.7726440429688,522.428730836724,509.2399015409513,522.0200338352882,4588600,-8.41
74,2025-04-22,527.732177734375,530.1047742590646,519.9664479543409,520.9134421665343,6635100,-6.1
75,2025-04-23,536.17578125,546.1347359535549,534.7004075954743,541.2699213224947,6854700,-4.6
76,2025-04-24,547.5103759765625,548.1783342300637,536.2953946242807,537.501650078431,6140000,-2.58
77,2025-04-25,551.4680786132812,551.8967328436258,544.5796142584186,547.5004866967002,3718000,-1.88
78,2025-04-28,551.7073364257812,554.3391335258488,545.9054449827486,552.2855481019717,5443400,-1.84
79,2025-04-29,555.2163696289062,556.2830462946897,549.4643106889422,549.8132577357889,2676600,-1.21
80,2025-04-30,556.2232666015625,557.3297969152276,542.4063622125816,548.417621910638,8939200,-1.03
81,2025-05-01,559.3634033203125,564.9559263207025,558.7852525103194,561.267492085617,5403000,-0.47
82,2025-05-02,567.5678100585938,569.2824269119516,563.5004930679474,565.6039105491604,3569400,0.99
83,2025-05-05,564.4076538085938,567.567830292072,562.6531224620348,563.5303881353143,3189900,0.42
84,2025-05-06,559.7920532226562,564.2381923315085,557.648782108711,558.8549767591823,4470500,-0.4
85,2025-05-07,562.01513671875,564.6967658183919,556.9509325213435,561.0581030675743,4836900,-0.0
86,2025-05-08,565.5640869140625,571.2463566726855,562.6830680245703,566.1422377374618,5915500,0.63
87,2025-05-09,565.1254272460938,568.3453535902381,563.7197821515657,567.4182557499938,2782000,0.55
88,2025-05-12,583.8868408203125,583.9566302277649,577.9952032234423,582.4513207767004,5095700,3.89
89,2025-05-13,588.1036987304688,590.0376625346108,583.8669276872088,584.4251821438079,7068500,4.64
90,2025-05-14,588.442626953125,589.9279791997435,586.5385382588075,588.831366732891,6298100,4.7
91,2025-05-15,591.3335571289062,591.9516223411115,586.1098778024403,586.5285534005092,3084100,5.21
92,2025-05-16,595.1815795898438,595.4906122231398,590.2968682620937,592.2607070634846,3596500,5.9
93,2025-05-19,595.92919921875,596.5472644377828,589.0706101638361,589.1403995718132,4753500,6.03
94,2025-05-20,593.7161865234375,595.0221064745406,590.5959243544738,594.1248835514186,21340900,5.64
95,2025-05-21,583.846923828125,593.5665742685292,582.7802471963221,589.3995929708838,7124200,3.88
96,2025-05-22,583.9367065429688,587.5852872388555,582.3616075940082,583.6276739180307,6368600,3.9
97,2025-05-23,580.1884155273438,582.7404446120076,576.509898912616,576.9086781754462,6303600,3.23
98,2025-05-27,592.0912475585938,592.3006157966205,585.3522796507501,587.056978844239,4533600,5.35
99,2025-05-28,588.6021118164062,593.7859376985854,587.9940251952048,592.5896608265181,5337400,4.73
100,2025-05-29,590.9348754882812,594.1946555436806,587.0469907289736,594.0451589576588,3830400,5.14
101,2025-05-30,590.3068237304688,592.1310836336543,584.2257748510053,589.8980658747686,5930100,5.03
102,2025-06-02,593.736083984375,593.7859161761613,586.050061641712,588.711733472839,3679000,5.64
103,2025-06-03,597.065673828125,598.1024146647098,592.9186496366166,593.3572824607811,3773800,6.23
104,2025-06-04,596.9061889648438,598.9597742344264,596.5373455556348,597.9927619773235,3686300,6.21
105,2025-06-05,594.1248779296875,600.0065373807819,592.0812711187725,598.6607638540061,5139600,5.71
106,2025-06-06,600.1261596679688,601.8507552410776,597.9329954204135,599.657651838695,3624600,6.78
107,2025-06-09,600.6943969726562,602.2794137309262,599.5379736134363,600.7542077777764,3883600,6.88
108,2025-06-10,604.1436157226562,604.5323555119455,600.1161522490866,601.2426397211326,6921000,7.49
109,2025-06-11,602.428955078125,606.1074716077089,600.3554124807138,605.2501631421576,20207000,7.19
110,2025-06-12,604.6221313476562,604.7716279368608,600.5946676795126,601.0931113338731,6968300,7.58
111,2025-06-13,597.9229736328125,602.8875134449378,596.5273680089144,599.5878191261683,7231400,6.39
112,2025-06-16,603.760009765625,605.5599975585938,601.3800048828125,601.469970703125,10221900,7.43
113,2025-06-17,598.760009765625,602.8300170898438,597.8499755859375,601.2899780273438,11753100,6.54
114,2025-06-18,598.6199951171875,602.3099975585938,597.719970703125,599.5,4192000,6.51
115,2025-06-20,596.6599731445312,602.3099975585938,595.7000122070312,601.22998046875,7447400,6.16
116,2025-06-23,602.9299926757812,603.3900146484375,594.7100219726562,597.8699951171875,6750400,7.28
117,2025-06-24,609.510009765625,610.7100219726562,606.3099975585938,607.1900024414062,7360000,8.45
118,2025-06-25,609.9600219726562,611.3499755859375,608.4500122070312,610.7899780273438,13558900,8.53
119,2025-06-26,614.760009765625,615.22998046875,611.280029296875,611.9000244140625,4955900,9.38
120,2025-06-27,617.4600219726562,619.3099975585938,613.7899780273438,615.8099975585938,7933800,9.86
121,2025-06-30,620.9000244140625,622.1199951171875,617.989990234375,620.3099975585938,6552400,10.48
