,Date,Close
0,2025-01-02,583.8068237304688
1,2025-01-03,590.92236328125
2,2025-01-06,594.5895385742188
3,2025-01-07,587.9012451171875
4,2025-01-08,588.5173950195312
5,2025-01-10,579.71240234375
6,2025-01-13,580.55712890625
7,2025-01-14,581.362060546875
8,2025-01-15,591.9360961914062
9,2025-01-16,590.932373046875
10,2025-01-17,596.537353515625
11,2025-01-21,601.9436645507812
12,2025-01-22,605.5213012695312
13,2025-01-23,608.9002685546875
14,2025-01-24,607.1015014648438
15,2025-01-27,598.63427734375
16,2025-01-28,603.7225341796875
17,2025-01-29,601.1585083007812
18,2025-01-30,604.1697387695312
19,2025-01-31,600.9100341796875
20,2025-02-03,596.9547729492188
21,2025-02-04,600.9398803710938
22,2025-02-05,603.4044799804688
23,2025-02-06,605.6206665039062
24,2025-02-07,600.055419921875
25,2025-02-10,603.9808959960938
26,2025-02-11,604.4579467773438
27,2025-02-12,602.4505004882812
28,2025-02-13,608.870361328125
29,2025-02-14,608.88037109375
30,2025-02-18,610.6691284179688
31,2025-02-19,612.0307006835938
32,2025-02-20,609.655517578125
33,2025-02-21,599.1311645507812
34,2025-02-24,596.2789306640625
35,2025-02-25,593.3771362304688
36,2025-02-26,593.575927734375
37,2025-02-27,584.1348266601562
38,2025-02-28,593.3373413085938
39,2025-03-03,583.15087890625
40,2025-03-04,576.1148681640625
41,2025-03-05,582.4254150390625
42,2025-03-06,571.9706420898438
43,2025-03-07,574.9222412109375
44,2025-03-10,559.9457397460938
45,2025-03-11,555.1754760742188
46,2025-03-12,557.9978637695312
47,2025-03-13,550.6239013671875
48,2025-03-14,562.0525512695312
49,2025-03-17,566.077392578125
50,2025-03-18,560.1808471679688
51,2025-03-19,566.241943359375
52,2025-03-20,564.9758911132812
53,2025-03-21,564.81640625
54,2025-03-24,574.9248046875
55,2025-03-25,576.1610107421875
56,2025-03-26,569.6412963867188
57,2025-03-27,567.846923828125
58,2025-03-28,556.3826904296875
59,2025-03-31,560.1510009765625
60,2025-04-01,562.025146484375
61,2025-04-02,565.4344482421875
62,2025-04-03,538.388916015625
63,2025-04-04,506.0299377441406
64,2025-04-07,504.80377197265625
65,2025-04-08,497.2473449707031
66,2025-04-09,544.5496826171875
67,2025-04-10,525.4193725585938
68,2025-04-11,535.3085327148438
69,2025-04-14,539.8344116210938
70,2025-04-15,538.508544921875
71,2025-04-16,526.4960327148438
72,2025-04-17,527.0243530273438
73,2025-04-21,514.7726440429688
74,2025-04-22,527.732177734375
75,2025-04-23,536.17578125
76,2025-04-24,547.5103759765625
77,2025-04-25,551.4680786132812
78,2025-04-28,551.7073364257812
79,2025-04-29,555.2163696289062
80,2025-04-30,556.2232666015625
81,2025-05-01,559.3634033203125
82,2025-05-02,567.5678100585938
83,2025-05-05,564.4076538085938
84,2025-05-06,559.7920532226562
85,2025-05-07,562.01513671875
86,2025-05-08,565.5640869140625
87,2025-05-09,565.1254272460938
88,2025-05-12,583.8868408203125
89,2025-05-13,588.1036987304688
90,2025-05-14,588.442626953125
91,2025-05-15,591.3335571289062
92,2025-05-16,595.1815795898438
93,2025-05-19,595.92919921875
94,2025-05-20,593.7161865234375
95,2025-05-21,583.846923828125
96,2025-05-22,583.9367065429688
97,2025-05-23,580.1884155273438
98,2025-05-27,592.0912475585938
99,2025-05-28,588.6021118164062
100,2025-05-29,590.9348754882812
101,2025-05-30,590.3068237304688
102,2025-06-02,593.736083984375
103,2025-06-03,597.065673828125
104,2025-06-04,596.9061889648438
105,2025-06-05,594.1248779296875
106,2025-06-06,600.1261596679688
107,2025-06-09,600.6943969726562
108,2025-06-10,604.1436157226562
109,2025-06-11,602.428955078125
110,2025-06-12,604.6221313476562
111,2025-06-13,597.9229736328125
112,2025-06-16,603.760009765625
113,2025-06-17,598.760009765625
114,2025-06-18,598.6199951171875
115,2025-06-20,596.6599731445312
116,2025-06-23,602.9299926757812
117,2025-06-24,609.510009765625
118,2025-06-25,609.9600219726562
119,2025-06-26,614.760009765625
120,2025-06-27,617.4600219726562
121,2025-06-30,620.9000244140625
122,2025-07-01,620.6699829101562
123,2025-07-02,623.4199829101562
124,2025-07-03,628.1699829101562
125,2025-07-07,623.8300170898438
126,2025-07-08,623.3300170898438
127,2025-07-09,627.030029296875
128,2025-07-10,628.8499755859375
129,2025-07-11,626.4400024414062
130,2025-07-14,627.739990234375
