,Date,Close,Close_change_pct
44,2025-03-10,559.9457397460938,-2.6
58,2025-03-28,556.3826904296875,-2.02
62,2025-04-03,538.388916015625,-4.78
63,2025-04-04,506.0299377441406,-6.01
67,2025-04-10,525.4193725585938,-3.51
71,2025-04-16,526.4960327148438,-2.23
73,2025-04-21,514.7726440429688,-2.32
